epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6241,1.55282,3.79615,1.29252,0.0135,0.5636,0.08034,0.04295,1.48036,3.60207,1.12842,0.00024543,0.00024543,0.00024543
2,22.4256,1.62522,2.63486,1.27478,0.01747,0.59126,0.19543,0.1021,1.58385,3.3117,1.30679,0.000493763,0.000493763,0.000493763
3,32.3197,1.6098,2.28885,1.28346,0.31494,0.24312,0.25965,0.14594,1.61764,2.44777,1.27801,0.000735797,0.000735797,0.000735797
4,42.1377,1.57468,2.10101,1.24686,0.42559,0.37084,0.37293,0.20396,1.64365,2.17451,1.33204,0.000875253,0.000875253,0.000875253
5,51.3442,1.55554,1.90632,1.23332,0.41354,0.30321,0.28272,0.14297,1.6896,2.42491,1.38888,0.000864004,0.000864004,0.000864004
6,60.8966,1.48811,1.81136,1.23396,0.40994,0.35369,0.34664,0.18086,1.66352,2.0629,1.38037,0.000852756,0.000852756,0.000852756
7,71.2451,1.51384,1.70369,1.22666,0.57801,0.44889,0.46148,0.24993,1.63617,1.80725,1.36003,0.000841507,0.000841507,0.000841507
8,80.7931,1.47648,1.66042,1.21277,0.48614,0.53714,0.50572,0.28398,1.58596,1.65286,1.29907,0.000830258,0.000830258,0.000830258
9,89.95,1.46057,1.53706,1.22119,0.63517,0.48498,0.54995,0.30196,1.60771,1.55563,1.28605,0.000819009,0.000819009,0.000819009
10,100.09,1.46493,1.50335,1.21974,0.62936,0.54351,0.59186,0.34002,1.56816,1.44344,1.28395,0.00080776,0.00080776,0.00080776
11,109.912,1.47872,1.50285,1.20493,0.61982,0.60231,0.62605,0.35085,1.55695,1.37084,1.28881,0.000796511,0.000796511,0.000796511
12,118.954,1.42334,1.44843,1.18386,0.57914,0.56717,0.58178,0.31732,1.60909,1.5281,1.30333,0.000785262,0.000785262,0.000785262
13,128.228,1.40641,1.39721,1.17822,0.59239,0.67653,0.65312,0.36856,1.53004,1.34792,1.27573,0.000774013,0.000774013,0.000774013
